title,keywords,group,link,pdf
Language to Action- Towards Interactive Task Learning with Physical Agents,,,,https://www.ijcai.org/proceedings/2018/0001.pdf
"Model-free, Model-based, and General Intelligence",,,,https://www.ijcai.org/proceedings/2018/0002.pdf
"Interactive, Collaborative Robots- Challenges and Opportunities",,,,https://www.ijcai.org/proceedings/2018/0003.pdf
Robust Norm Emergence by Revealing and Reasoning about Context- Socially Intelligent Agents for Enhancing Privacy,,,,https://www.ijcai.org/proceedings/2018/0004.pdf
Synthesis of Controllable Nash Equilibria in Quantitative Objective Game,,,,https://www.ijcai.org/proceedings/2018/0005.pdf
Comparing Approximate Relaxations of Envy-Freeness,,,,https://www.ijcai.org/proceedings/2018/0006.pdf
Reasoning about Consensus when Opinions Diffuse through Majority Dynamics,,,,https://www.ijcai.org/proceedings/2018/0007.pdf
Egalitarian Committee Scoring Rules,,,,https://www.ijcai.org/proceedings/2018/0008.pdf
Truthful Fair Division without Free Disposal,,,,https://www.ijcai.org/proceedings/2018/0009.pdf
Accountable Approval Sorting,,,,https://www.ijcai.org/proceedings/2018/0010.pdf
Alternating-time Temporal Logic on Finite Traces,,,,https://www.ijcai.org/proceedings/2018/0011.pdf
Managing Communication Costs under Temporal Uncertainty,,,,https://www.ijcai.org/proceedings/2018/0012.pdf
Fair Division Under Cardinality Constraints,,,,https://www.ijcai.org/proceedings/2018/0013.pdf
Big City vs. the Great Outdoors- Voter Distribution and How It Affects Gerrymandering,,,,https://www.ijcai.org/proceedings/2018/0014.pdf
Non-decreasing Payment Rules for Combinatorial Auctions,,,,https://www.ijcai.org/proceedings/2018/0015.pdf
An Analytical and Experimental Comparison of Maximal Lottery Schemes,,,,https://www.ijcai.org/proceedings/2018/0016.pdf
Solving Patrolling Problems in the Internet Environment,,,,https://www.ijcai.org/proceedings/2018/0017.pdf
Combinatorial Auctions via Machine Learning-based Preference Elicitation,,,,https://www.ijcai.org/proceedings/2018/0018.pdf
Pairwise Liquid Democracy,,,,https://www.ijcai.org/proceedings/2018/0019.pdf
Multiwinner Voting with Fairness Constraints,,,,https://www.ijcai.org/proceedings/2018/0020.pdf
An FPTAS for Computing Nash Equilibrium in Resource Graph Games,,,,https://www.ijcai.org/proceedings/2018/0021.pdf
Vocabulary Alignment for Collaborative Agents- a Study with Real-World Multilingual How-to Instructions,,,,https://www.ijcai.org/proceedings/2018/0022.pdf
Bidding in Periodic Double Auctions Using Heuristics and Dynamic Monte Carlo Tree Search,,,,https://www.ijcai.org/proceedings/2018/0023.pdf
When Does Diversity of Agent Preferences Improve Outcomes in Selfish Routing-,,,,https://www.ijcai.org/proceedings/2018/0024.pdf
Computing the Schulze Method for Large-Scale Preference Data Sets,,,,https://www.ijcai.org/proceedings/2018/0025.pdf
Facility Reallocation on the Line,,,,https://www.ijcai.org/proceedings/2018/0026.pdf
An Operational Semantics for a Fragment of PRS,,,,https://www.ijcai.org/proceedings/2018/0027.pdf
A Structural Approach to Activity Selection,,,,https://www.ijcai.org/proceedings/2018/0028.pdf
Negotiation Strategies for Agents with Ordinal Preferences,,,,https://www.ijcai.org/proceedings/2018/0029.pdf
Opinion Diffusion and Campaigning on Society Graphs,,,,https://www.ijcai.org/proceedings/2018/0030.pdf
On the Complexity of Chore Division,,,,https://www.ijcai.org/proceedings/2018/0031.pdf
Trembling-Hand Perfection in Extensive-Form Games with Commitment,,,,https://www.ijcai.org/proceedings/2018/0032.pdf
Probabilistic Verification for Obviously Strategyproof Mechanisms,,,,https://www.ijcai.org/proceedings/2018/0033.pdf
On Fair Price Discrimination in Multi-Unit Markets,,,,https://www.ijcai.org/proceedings/2018/0034.pdf
An Axiomatic View of the Parimutuel Consensus Mechanism,,,,https://www.ijcai.org/proceedings/2018/0035.pdf
Deep Learning for Multi-Facility Location Mechanism Design,,,,https://www.ijcai.org/proceedings/2018/0036.pdf
Balancing Two-Player Stochastic Games with Soft Q-Learning,,,,https://www.ijcai.org/proceedings/2018/0037.pdf
"When Rigging a Tournament, Let Greediness Blind You",,,,https://www.ijcai.org/proceedings/2018/0038.pdf
Winning a Tournament by Any Means Necessary,,,,https://www.ijcai.org/proceedings/2018/0039.pdf
Fostering Cooperation in Structured Populations Through Local and Global Interference Strategies,,,,https://www.ijcai.org/proceedings/2018/0040.pdf
Payoff Control in the Iterated Prisoners Dilemma,,,,https://www.ijcai.org/proceedings/2018/0041.pdf
Ceteris paribus majority for social ranking,,,,https://www.ijcai.org/proceedings/2018/0042.pdf
Computational Aspects of the Preference Cores of Supermodular Two-Scenario Cooperative Games,,,,https://www.ijcai.org/proceedings/2018/0043.pdf
Computational Social Choice Meets Databases,,,,https://www.ijcai.org/proceedings/2018/0044.pdf
Symbolic Synthesis of Fault-Tolerance Ratios in Parameterised Multi-Agent Systems,,,,https://www.ijcai.org/proceedings/2018/0045.pdf
Explaining Multi-Criteria Decision Aiding Models with an Extended Shapley Value,,,,https://www.ijcai.org/proceedings/2018/0046.pdf
Approval-Based Multi-Winner Rules and Strategic Voting,,,,https://www.ijcai.org/proceedings/2018/0047.pdf
Combining Opinion Pooling and Evidential Updating for Multi-Agent Consensus,,,,https://www.ijcai.org/proceedings/2018/0048.pdf
Service Exchange Problem,,,,https://www.ijcai.org/proceedings/2018/0049.pdf
Tractable (Simple) Contests,,,,https://www.ijcai.org/proceedings/2018/0050.pdf
Customer Sharing in Economic Networks with Costs,,,,https://www.ijcai.org/proceedings/2018/0051.pdf
Dynamic Fair Division Problem with General Valuations,,,,https://www.ijcai.org/proceedings/2018/0052.pdf
Integrating Demand Response and Renewable Energy In Wholesale Market,,,,https://www.ijcai.org/proceedings/2018/0053.pdf
Equilibrium Behavior in Competing Dynamic Matching Markets,,,,https://www.ijcai.org/proceedings/2018/0054.pdf
What Game Are We Playing- End-to-end Learning in Normal and Extensive Form Games,,,,https://www.ijcai.org/proceedings/2018/0055.pdf
Verifying Emergence of Bounded Time Properties in Probabilistic Swarm Systems,,,,https://www.ijcai.org/proceedings/2018/0056.pdf
Maximin Share Allocations on Cycles,,,,https://www.ijcai.org/proceedings/2018/0057.pdf
Multi-Agent Path Finding with Deadlines,,,,https://www.ijcai.org/proceedings/2018/0058.pdf
Optimal Bidding Strategy for Brand Advertising,,,,https://www.ijcai.org/proceedings/2018/0059.pdf
Preference Orders on Families of Sets - When Can Impossibility Results Be Avoided-,,,,https://www.ijcai.org/proceedings/2018/0060.pdf
Online Pricing for Revenue Maximization with Unknown Time Discounting Valuations,,,,https://www.ijcai.org/proceedings/2018/0061.pdf
Leadership in Singleton Congestion Games,,,,https://www.ijcai.org/proceedings/2018/0062.pdf
The Price of Usability- Designing Operationalizable Strategies for Security Games,,,,https://www.ijcai.org/proceedings/2018/0063.pdf
Dynamically Forming a Group of Human Forecasters and Machine Forecaster for Forecasting Economic Indicators,,,,https://www.ijcai.org/proceedings/2018/0064.pdf
Goal-Based Collective Decisions- Axiomatics and Computational Complexity,,,,https://www.ijcai.org/proceedings/2018/0065.pdf
Deontic Sensors,,,,https://www.ijcai.org/proceedings/2018/0066.pdf
Democratic Fair Allocation of Indivisible Goods,,,,https://www.ijcai.org/proceedings/2018/0067.pdf
Double Auctions in Markets for Multiple Kinds of Goods,,,,https://www.ijcai.org/proceedings/2018/0068.pdf
Redividing the Cake,,,,https://www.ijcai.org/proceedings/2018/0069.pdf
Ex-post IR Dynamic Auctions with Cost-per-Action Payments,,,,https://www.ijcai.org/proceedings/2018/0070.pdf
Designing the Game to Play- Optimizing Payoff Structure in Security Games,,,,https://www.ijcai.org/proceedings/2018/0071.pdf
Efficient Computation of Approximate Equilibria in Discrete Colonel Blotto Games,,,,https://www.ijcai.org/proceedings/2018/0072.pdf
A Decentralised Approach to Intersection Traffic Management,,,,https://www.ijcai.org/proceedings/2018/0073.pdf
Extended Increasing Cost Tree Search for Non-Unit Cost Domains,,,,https://www.ijcai.org/proceedings/2018/0074.pdf
A Cloaking Mechanism to Mitigate Market Manipulation,,,,https://www.ijcai.org/proceedings/2018/0075.pdf
Budget-feasible Procurement Mechanisms in Two-sided Markets,,,,https://www.ijcai.org/proceedings/2018/0076.pdf
Exact Algorithms and Complexity of Kidney Exchange,,,,https://www.ijcai.org/proceedings/2018/0077.pdf
Keeping in Touch with Collaborative UAVs- A Deep Reinforcement Learning Approach,,,,https://www.ijcai.org/proceedings/2018/0078.pdf
Recurrent Deep Multiagent Q-Learning for Autonomous Brokers in Smart Grid,,,,https://www.ijcai.org/proceedings/2018/0079.pdf
Multiwinner Voting with Restricted Admissible Sets- Complexity and Strategyproofness,,,,https://www.ijcai.org/proceedings/2018/0080.pdf
Socially Motivated Partial Cooperation in Multi-agent Local Search,,,,https://www.ijcai.org/proceedings/2018/0081.pdf
Strategyproof and Fair Matching Mechanism for Union of Symmetric M-convex Constraints,,,,https://www.ijcai.org/proceedings/2018/0082.pdf
MEnet- A Metric Expression Network for Salient Object Segmentation,,,,https://www.ijcai.org/proceedings/2018/0083.pdf
"Show, Observe and Tell- Attribute-driven Attention Model for Image Captioning",,,,https://www.ijcai.org/proceedings/2018/0084.pdf
Learning Deep Unsupervised Binary Codes for Image Retrieval,,,,https://www.ijcai.org/proceedings/2018/0085.pdf
