title,keywords,group,link,pdf
Flexible Representative Democracy- An Introduction with Binary Issues,,,,https://www.ijcai.org/proceedings/2019/0001.pdf
Portioning Using Ordinal Preferences- Fairness and Efficiency,,,,https://www.ijcai.org/proceedings/2019/0002.pdf
An Efficient Algorithm for Skeptical Preferred Acceptance in Dynamic Argumentation Frameworks,,,,https://www.ijcai.org/proceedings/2019/0003.pdf
Strategic Signaling for Selling Information Goods,,,,https://www.ijcai.org/proceedings/2019/0004.pdf
Probabilistic Strategy Logic,,,,https://www.ijcai.org/proceedings/2019/0005.pdf
Multi-Agent Pathfinding with Continuous Time,,,,https://www.ijcai.org/proceedings/2019/0006.pdf
Weighted Maxmin Fair Share Allocation of Indivisible Chores,,,,https://www.ijcai.org/proceedings/2019/0007.pdf
Fair Allocation of Indivisible Goods and Chores,,,,https://www.ijcai.org/proceedings/2019/0008.pdf
Strategyproof and Approximately Maxmin Fair Share Allocation of Chores,,,,https://www.ijcai.org/proceedings/2019/0009.pdf
Stable and Envy-free Partitions in Hedonic Games,,,,https://www.ijcai.org/proceedings/2019/0010.pdf
How Hard Is the Manipulative Design of Scoring Systems-,,,,https://www.ijcai.org/proceedings/2019/0011.pdf
The Price of Fairness for Indivisible Goods,,,,https://www.ijcai.org/proceedings/2019/0012.pdf
Strategy Logic with Simple Goals- Tractable Reasoning about Strategies,,,,https://www.ijcai.org/proceedings/2019/0013.pdf
Fairness Towards Groups of Agents in the Allocation of Indivisible Items,,,,https://www.ijcai.org/proceedings/2019/0014.pdf
Optimality and Nash Stability in Additive Separable Generalized Group Activity Selection Problems,,,,https://www.ijcai.org/proceedings/2019/0015.pdf
An Experimental View on Committees Providing Justified Representation,,,,https://www.ijcai.org/proceedings/2019/0016.pdf
A Contribution to the Critique of Liquid Democracy,,,,https://www.ijcai.org/proceedings/2019/0017.pdf
Be a Leader or Become a Follower- The Strategy to Commit to with Multiple Leaders,,,,https://www.ijcai.org/proceedings/2019/0018.pdf
On the Problem of Assigning PhD Grants,,,,https://www.ijcai.org/proceedings/2019/0019.pdf
Maximin-Aware Allocations of Indivisible Goods,,,,https://www.ijcai.org/proceedings/2019/0020.pdf
Reachability and Coverage Planning for Connected Agents,,,,https://www.ijcai.org/proceedings/2019/0021.pdf
Approximately Maximizing the Brokers Profit in a Two-sided Market,,,,https://www.ijcai.org/proceedings/2019/0022.pdf
Election with Bribe-Effect Uncertainty- A Dichotomy Result,,,,https://www.ijcai.org/proceedings/2019/0023.pdf
