title,keywords,group,link,pdf
Distance Polymatrix Coordination Games,,,,https://www.ijcai.org/proceedings/2021/0001.pdf
Diversity in Kemeny Rank Aggregation- A Parameterized Approach,,,,https://www.ijcai.org/proceedings/2021/0002.pdf
School Choice with Flexible Diversity Goals and Specialized Seats,,,,https://www.ijcai.org/proceedings/2021/0003.pdf
PROPm Allocations of Indivisible Goods to Multiple Agents,,,,https://www.ijcai.org/proceedings/2021/0004.pdf
Learning Within an Instance for Designing High-Revenue Combinatorial Auctions,,,,https://www.ijcai.org/proceedings/2021/0005.pdf
Combining Fairness and Optimality when Selecting and Allocating Projects,,,,https://www.ijcai.org/proceedings/2021/0006.pdf
Two Influence Maximization Games on Graphs Made Temporal,,,,https://www.ijcai.org/proceedings/2021/0007.pdf
Winner Robustness via Swap- and Shift-Bribery- Parameterized Counting Complexity and Experiments,,,,https://www.ijcai.org/proceedings/2021/0008.pdf
Putting a Compass on the Map of Elections,,,,https://www.ijcai.org/proceedings/2021/0009.pdf
Loyalty in Cardinal Hedonic Games,,,,https://www.ijcai.org/proceedings/2021/0010.pdf
Approximating the Shapley Value Using Stratified Empirical Bernstein Sampling,,,,https://www.ijcai.org/proceedings/2021/0011.pdf
Picking Sequences and Monotonicity in Weighted Fair Division,,,,https://www.ijcai.org/proceedings/2021/0012.pdf
Fractional Matchings under Preferences- Stability and Optimality,,,,https://www.ijcai.org/proceedings/2021/0013.pdf
Temporal Induced Self-Play for Stochastic Bayesian Games,,,,https://www.ijcai.org/proceedings/2021/0014.pdf
Cooperation in Threshold Public Projects with Binary Actions,,,,https://www.ijcai.org/proceedings/2021/0015.pdf
Learning in Markets- Greed Leads to Chaos but Following the Price is Right,,,,https://www.ijcai.org/proceedings/2021/0016.pdf
Identifying Norms from Observation Using MCMC Sampling,,,,https://www.ijcai.org/proceedings/2021/0017.pdf
Improving Multi-agent Coordination by Learning to Estimate Contention,,,,https://www.ijcai.org/proceedings/2021/0018.pdf
Multi-Agent Intention Progression with Black-Box Agents,,,,https://www.ijcai.org/proceedings/2021/0019.pdf
The Parameterized Complexity of Connected Fair Division,,,,https://www.ijcai.org/proceedings/2021/0020.pdf
Neural Regret-Matching for Distributed Constraint Optimization Problems,,,,https://www.ijcai.org/proceedings/2021/0021.pdf
Online Selection of Diverse Committees,,,,https://www.ijcai.org/proceedings/2021/0022.pdf
Graphical Cake Cutting via Maximin Share,,,,https://www.ijcai.org/proceedings/2021/0023.pdf
Keep Your Distance- Land Division With Separation,,,,https://www.ijcai.org/proceedings/2021/0024.pdf
On a Competitive Secretary Problem with Deferred Selections,,,,https://www.ijcai.org/proceedings/2021/0025.pdf
Relaxed Core Stability in Fractional Hedonic Games,,,,https://www.ijcai.org/proceedings/2021/0026.pdf
Reasoning over Argument-Incomplete AAFs in the Presence of Correlations,,,,https://www.ijcai.org/proceedings/2021/0027.pdf
Kemeny Consensus Complexity,,,,https://www.ijcai.org/proceedings/2021/0028.pdf
Two-Sided Matching Meets Fair Division,,,,https://www.ijcai.org/proceedings/2021/0029.pdf
Worst-case Bounds on Power vs. Proportion in Weighted Voting Games with Application to False-name Manipulation,,,,https://www.ijcai.org/proceedings/2021/0030.pdf
Even More Effort Towards Improved Bounds and Fixed-Parameter Tractability for Multiwinner Rules,,,,https://www.ijcai.org/proceedings/2021/0031.pdf
Fair and Efficient Resource Allocation with Partial Information,,,,https://www.ijcai.org/proceedings/2021/0032.pdf
Accomplice Manipulation of the Deferred Acceptance Algorithm,,,,https://www.ijcai.org/proceedings/2021/0033.pdf
Guaranteeing Maximin Shares- Some Agents Left Behind,,,,https://www.ijcai.org/proceedings/2021/0034.pdf
"Surprisingly Popular Voting Recovers Rankings, Surprisingly!",,,,https://www.ijcai.org/proceedings/2021/0035.pdf
SURPRISE! and When to Schedule It.,,,,https://www.ijcai.org/proceedings/2021/0036.pdf
Dynamic Proportional Rankings,,,,https://www.ijcai.org/proceedings/2021/0037.pdf
"A Polynomial-time, Truthful, Individually Rational and Budget Balanced Ridesharing Mechanism",,,,https://www.ijcai.org/proceedings/2021/0038.pdf
Participatory Budgeting with Project Groups,,,,https://www.ijcai.org/proceedings/2021/0039.pdf
Interaction Considerations in Learning from Humans,,,,https://www.ijcai.org/proceedings/2021/0040.pdf
Two-Stage Facility Location Games with Strategic Clients and Facilities,,,,https://www.ijcai.org/proceedings/2021/0041.pdf
Fairness in Long-Term Participatory Budgeting,,,,https://www.ijcai.org/proceedings/2021/0042.pdf
Strategyproof Randomized Social Choice for Restricted Sets of Utility Functions,,,,https://www.ijcai.org/proceedings/2021/0043.pdf
Budget-feasible Mechanisms for Representing Groups of Agents Proportionally,,,,https://www.ijcai.org/proceedings/2021/0044.pdf
Improving Welfare in One-Sided Matchings using Simple Threshold Queries,,,,https://www.ijcai.org/proceedings/2021/0045.pdf
Generalized Kings and Single-Elimination Winners in Random Tournaments,,,,https://www.ijcai.org/proceedings/2021/0046.pdf
Almost Envy-Freeness for Groups- Improved Bounds via Discrepancy Theory,,,,https://www.ijcai.org/proceedings/2021/0047.pdf
Winner Determination and Strategic Control in Conditional Approval Voting,,,,https://www.ijcai.org/proceedings/2021/0048.pdf
Majority Vote in Social Networks- Make Random Friends or Be Stubborn to Overpower Elites,,,,https://www.ijcai.org/proceedings/2021/0049.pdf
Mean Field Games Flock! The Reinforcement Learning Way,,,,https://www.ijcai.org/proceedings/2021/0050.pdf
Data-Driven Methods for Balancing Fairness and Efficiency in Ride-Pooling,,,,https://www.ijcai.org/proceedings/2021/0051.pdf
Shortlisting Rules and Incentives in an End-to-End Model for Participatory Budgeting,,,,https://www.ijcai.org/proceedings/2021/0052.pdf
Matchings with Group Fairness Constraints- Online and Offline Algorithms,,,,https://www.ijcai.org/proceedings/2021/0053.pdf
Stochastic Market Games,,,,https://www.ijcai.org/proceedings/2021/0054.pdf
Tango- Declarative Semantics for Multiagent Communication Protocols,,,,https://www.ijcai.org/proceedings/2021/0055.pdf
Vitality Indices are Equivalent to Induced Game-Theoretic Centralities,,,,https://www.ijcai.org/proceedings/2021/0056.pdf
Game-theoretic Analysis of Effort Allocation of Contributors to Public Projects,,,,https://www.ijcai.org/proceedings/2021/0057.pdf
New Algorithms for Japanese Residency Matching,,,,https://www.ijcai.org/proceedings/2021/0058.pdf
Fair Pairwise Exchange among Groups,,,,https://www.ijcai.org/proceedings/2021/0059.pdf
