title,keywords,group,link,pdf
Preface - xxxiii,,,,https://www.ijcai.org/Proceedings/16/Papers/001.pdf
Conference Organization - xxxv,,,,https://www.ijcai.org/Proceedings/16/Papers/002.pdf
Program Committee - xxxvii,,,,https://www.ijcai.org/Proceedings/16/Papers/003.pdf
Conference Organizers and Sponsors - liii,,,,https://www.ijcai.org/Proceedings/16/Papers/004.pdf
Awards and Distinguished Papers - lv,,,,https://www.ijcai.org/Proceedings/16/Papers/005.pdf
IJCAI Organization - lvii,,,,https://www.ijcai.org/Proceedings/16/Papers/006.pdf
Past IJCAI Conferences - lix,,,,https://www.ijcai.org/Proceedings/16/Papers/007.pdf
Interdependent Scheduling Games - 2,,,,https://www.ijcai.org/Proceedings/16/Papers/008.pdf
Scalable Greedy Algorithms for Task-Resource Constrained Multi-Agent Stochastic Planning - 10,,,,https://www.ijcai.org/Proceedings/16/Papers/009.pdf
Coco- Runtime Reasoning about Conflicting Commitments - 17,,,,https://www.ijcai.org/Proceedings/16/Papers/010.pdf
Verifying Existence of Resource-Bounded Coalition Uniform Strategies - 24,,,,https://www.ijcai.org/Proceedings/16/Papers/011.pdf
On Truthful Mechanisms for Maximin Share Allocations - 31,,,,https://www.ijcai.org/Proceedings/16/Papers/012.pdf
Modeling and Reasoning about NTU Games via Answer Set Programming - 38,,,,https://www.ijcai.org/Proceedings/16/Papers/013.pdf
Randomized Social Choice Functions under Metric Preferences - 46,,,,https://www.ijcai.org/Proceedings/16/Papers/014.pdf
Generalized Discrete Preference Games - 53,,,,https://www.ijcai.org/Proceedings/16/Papers/015.pdf
Computing Pareto Optimal Committees - 60,,,,https://www.ijcai.org/Proceedings/16/Papers/016.pdf
Control of Fair Division - 67,,,,https://www.ijcai.org/Proceedings/16/Papers/017.pdf
A Characterization of Voting Power for Discrete Weight Distributions - 74,,,,https://www.ijcai.org/Proceedings/16/Papers/018.pdf
Misrepresentation in District Voting - 81,,,,https://www.ijcai.org/Proceedings/16/Papers/019.pdf
Conditional and Sequential Approval Voting on Combinatorial Domains - 88,,,,https://www.ijcai.org/Proceedings/16/Papers/020.pdf
On Logics of Strategic Ability Based on Propositional Control - 95,,,,https://www.ijcai.org/Proceedings/16/Papers/021.pdf
"Complexity of Efficient and Envy-Free Resource Allocation- Few Agents, Resources, or Utility Levels - 102",,,,https://www.ijcai.org/Proceedings/16/Papers/022.pdf
The Complexity of Playing Durak - 109,,,,https://www.ijcai.org/Proceedings/16/Papers/023.pdf
Proving the Incompatibility of Efficiency and Strategyproofness via SMT Solving - 116,,,,https://www.ijcai.org/Proceedings/16/Papers/024.pdf
To Give or Not to Give- Fair Division for Single Minded Valuations - 123,,,,https://www.ijcai.org/Proceedings/16/Papers/025.pdf
Pairwise Diffusion of Preference Rankings in Social Networks - 130,,,,https://www.ijcai.org/Proceedings/16/Papers/026.pdf
Facility Location with Minimax Envy - 137,,,,https://www.ijcai.org/Proceedings/16/Papers/027.pdf
Achieving Proportional Representation in Conference Programs - 144,,,,https://www.ijcai.org/Proceedings/16/Papers/028.pdf
Subset Selection via Implicit Utilitarian Voting - 151,,,,https://www.ijcai.org/Proceedings/16/Papers/029.pdf
Trading on a Rigged Game- Outcome Manipulation in Prediction Markets - 158,,,,https://www.ijcai.org/Proceedings/16/Papers/030.pdf
Congestion Games with Polytopal Strategy Spaces - 165,,,,https://www.ijcai.org/Proceedings/16/Papers/031.pdf
Robust Draws in Balanced Knockout Tournaments - 172,,,,https://www.ijcai.org/Proceedings/16/Papers/032.pdf
Verifying Pushdown Multi-Agent Systems against Strategy Logics - 180,,,,https://www.ijcai.org/Proceedings/16/Papers/033.pdf
Truthfulness of a Proportional Sharing Mechanism in Resource Exchange - 187,,,,https://www.ijcai.org/Proceedings/16/Papers/034.pdf
Better Strategyproof Mechanisms without Payments or Prior — An Analytic Approach - 194,,,,https://www.ijcai.org/Proceedings/16/Papers/035.pdf
Approximating Value Equivalence in Interactive Dynamic Influence Diagrams Using Behavioral Coverage - 201,,,,https://www.ijcai.org/Proceedings/16/Papers/036.pdf
Selective Norm Monitoring - 208,,,,https://www.ijcai.org/Proceedings/16/Papers/037.pdf
Elicitation for Preferences Single Peaked on Trees - 215,,,,https://www.ijcai.org/Proceedings/16/Papers/038.pdf
Preference Elicitation for Single Crossing Domain - 222,,,,https://www.ijcai.org/Proceedings/16/Papers/039.pdf
Complexity of Manipulation with Partial Information in Voting - 229,,,,https://www.ijcai.org/Proceedings/16/Papers/040.pdf
Strategic Voting with Incomplete Information - 236,,,,https://www.ijcai.org/Proceedings/16/Papers/041.pdf
Voting-Based Group Formation - 243,,,,https://www.ijcai.org/Proceedings/16/Papers/042.pdf
Committee Scoring Rules- Axiomatic Classification and Hierarchy - 250,,,,https://www.ijcai.org/Proceedings/16/Papers/043.pdf
How Hard Is It for a Party to Nominate an Election Winner- - 257,,,,https://www.ijcai.org/Proceedings/16/Papers/044.pdf
Digital Good Exchange - 264,,,,https://www.ijcai.org/Proceedings/16/Papers/045.pdf
Parallel Behavior Composition for Manufacturing - 271,,,,https://www.ijcai.org/Proceedings/16/Papers/046.pdf
Opinion Dynamics with Local Interactions - 279,,,,https://www.ijcai.org/Proceedings/16/Papers/047.pdf
Online Mechanism Design for Vehicle-to-Grid Car Parks - 286,,,,https://www.ijcai.org/Proceedings/16/Papers/048.pdf
Moving in a Crowd- Safe and Efficient Navigation among Heterogeneous Agents - 294,,,,https://www.ijcai.org/Proceedings/16/Papers/049.pdf
A Network-Based Rating System and Its Resistance to Bribery - 301,,,,https://www.ijcai.org/Proceedings/16/Papers/050.pdf
Three Strategies to Success- Learning Adversary Models in Security Games - 308,,,,https://www.ijcai.org/Proceedings/16/Papers/051.pdf
Reconfigurability in Reactive Multiagent Systems - 315,,,,https://www.ijcai.org/Proceedings/16/Papers/052.pdf
Probabilistic Matrix Inspection and Group Scheduling - 322,,,,https://www.ijcai.org/Proceedings/16/Papers/053.pdf
Catcher-Evader Games - 329,,,,https://www.ijcai.org/Proceedings/16/Papers/054.pdf
Asymptotically Tight Bounds for Inefficiency in Risk-Averse Selfish Routing - 338,,,,https://www.ijcai.org/Proceedings/16/Papers/055.pdf
Social Choice for Agents with General Utilities - 345,,,,https://www.ijcai.org/Proceedings/16/Papers/056.pdf
Incentivizing Reliability in Demand-Side Response - 352,,,,https://www.ijcai.org/Proceedings/16/Papers/057.pdf
Allocating Indivisible Items in Categorized Domains - 359,,,,https://www.ijcai.org/Proceedings/16/Papers/058.pdf
