title,keywords,group,link,pdf
An Algorithm for Multi-Attribute Diverse Matching,,,,https://www.ijcai.org/proceedings/2020/0001.pdf
Intention Progression under Uncertainty,,,,https://www.ijcai.org/proceedings/2020/0002.pdf
"Social Ranking Manipulability for the CP-Majority, Banzhaf and Lexicographic Excellence Solutions",,,,https://www.ijcai.org/proceedings/2020/0003.pdf
Maximum Nash Welfare and Other Stories About EFX,,,,https://www.ijcai.org/proceedings/2020/0004.pdf
Speeding Up Incomplete GDL-based Algorithms for Multi-agent Optimization with Dense Local Utilities,,,,https://www.ijcai.org/proceedings/2020/0005.pdf
Almost Group Envy-free Allocation of Indivisible Goods and Chores,,,,https://www.ijcai.org/proceedings/2020/0006.pdf
Uniform Welfare Guarantees Under Identical Subadditive Valuations,,,,https://www.ijcai.org/proceedings/2020/0007.pdf
Biased Opinion Dynamics- When the Devil is in the Details,,,,https://www.ijcai.org/proceedings/2020/0008.pdf
Formalizing Group and Propagated Trust in Multi-Agent Systems,,,,https://www.ijcai.org/proceedings/2020/0009.pdf
Fine-Grained View on Bribery for Group Identification,,,,https://www.ijcai.org/proceedings/2020/0010.pdf
Evaluating Approval-Based Multiwinner Voting in Terms of Robustness to Noise,,,,https://www.ijcai.org/proceedings/2020/0011.pdf
Decentralized MCTS via Learned Teammate Models,,,,https://www.ijcai.org/proceedings/2020/0012.pdf
On the Complexity of Winner Verification and Candidate Winner for Multiwinner Voting Rules,,,,https://www.ijcai.org/proceedings/2020/0013.pdf
Stable Roommate Problem with Diversity Preferences,,,,https://www.ijcai.org/proceedings/2020/0014.pdf
Strategic Campaign Management in Apportionment Elections,,,,https://www.ijcai.org/proceedings/2020/0015.pdf
Concentration of Distortion- The Value of Extra Voters in Randomized Social Choice,,,,https://www.ijcai.org/proceedings/2020/0016.pdf
Assume-Guarantee Synthesis for Prompt Linear Temporal Logic,,,,https://www.ijcai.org/proceedings/2020/0017.pdf
Peer-Prediction in the Presence of Outcome Dependent Lying Incentives,,,,https://www.ijcai.org/proceedings/2020/0018.pdf
Proportionality in Approval-Based Elections With a Variable Number of Winners,,,,https://www.ijcai.org/proceedings/2020/0019.pdf
Flow-Based Network Creation Games,,,,https://www.ijcai.org/proceedings/2020/0020.pdf
Stable Matchings with Diversity Constraints- Affirmative Action is beyond NP,,,,https://www.ijcai.org/proceedings/2020/0021.pdf
Mechanism Design for School Choice with Soft Diversity Constraints,,,,https://www.ijcai.org/proceedings/2020/0022.pdf
Maximizing Welfare with Incentive-Aware Evaluation Mechanisms,,,,https://www.ijcai.org/proceedings/2020/0023.pdf
"Ethics, Prosperity, and Society- Moral Evaluation Using Virtue Ethics and Utilitarianism",,,,https://www.ijcai.org/proceedings/2020/0024.pdf
Prophet Inequalities for Bayesian Persuasion,,,,https://www.ijcai.org/proceedings/2020/0025.pdf
Fair Division of Time- Multi-layered Cake Cutting,,,,https://www.ijcai.org/proceedings/2020/0026.pdf
Well-Structured Committees,,,,https://www.ijcai.org/proceedings/2020/0027.pdf
Evaluating Committees for Representative Democracies- the Distortion and Beyond,,,,https://www.ijcai.org/proceedings/2020/0028.pdf
The Complexity of Election Problems with Group-Separable Preferences,,,,https://www.ijcai.org/proceedings/2020/0029.pdf
Logics of Allies and Enemies- A Formal Approach to the Dynamics of Social Balance Theory,,,,https://www.ijcai.org/proceedings/2020/0030.pdf
Synthesis of Deceptive Strategies in Reachability Games with Action Misperception,,,,https://www.ijcai.org/proceedings/2020/0031.pdf
Selecting Voting Locations for Fun and Profit,,,,https://www.ijcai.org/proceedings/2020/0032.pdf
Incentive-Compatible Diffusion Auctions,,,,https://www.ijcai.org/proceedings/2020/0033.pdf
Strategyproof Mechanism for Two Heterogeneous Facilities with Constant Approximation Ratio,,,,https://www.ijcai.org/proceedings/2020/0034.pdf
Dinkelbach-Type Algorithm for Computing Quantal Stackelberg Equilibrium,,,,https://www.ijcai.org/proceedings/2020/0035.pdf
A Penny for Your Thoughts- The Value of Communication in Ad Hoc Teamwork,,,,https://www.ijcai.org/proceedings/2020/0036.pdf
Convexity of b-matching Games,,,,https://www.ijcai.org/proceedings/2020/0037.pdf
Learning Optimal Temperature Region for Solving Mixed Integer Functional DCOPs,,,,https://www.ijcai.org/proceedings/2020/0038.pdf
Tight Approximation for Proportional Approval Voting,,,,https://www.ijcai.org/proceedings/2020/0039.pdf
Partial Adversarial Behavior Deception in Security Games,,,,https://www.ijcai.org/proceedings/2020/0040.pdf
Approximate Pareto Set for Fair and Efficient Allocation- Few Agent Types or Few Resource Types,,,,https://www.ijcai.org/proceedings/2020/0041.pdf
A Deep Reinforcement Learning Approach to Concurrent Bilateral Negotiation,,,,https://www.ijcai.org/proceedings/2020/0042.pdf
Computational Aspects of Conditional Minisum Approval Voting in Elections with Interdependent Issues,,,,https://www.ijcai.org/proceedings/2020/0043.pdf
Combining Direct Trust and Indirect Trust in Multi-Agent Systems,,,,https://www.ijcai.org/proceedings/2020/0044.pdf
Keeping Your Friends Close- Land Allocation with Friends,,,,https://www.ijcai.org/proceedings/2020/0045.pdf
Verifying Fault-Tolerance in Probabilistic Swarm Systems,,,,https://www.ijcai.org/proceedings/2020/0046.pdf
Efficient Algorithms for Learning Revenue-Maximizing Two-Part Tariffs,,,,https://www.ijcai.org/proceedings/2020/0047.pdf
Model-Free Real-Time Autonomous Energy Management for a Residential Multi-Carrier Energy System- A Deep Reinforcement Learning Approach,,,,https://www.ijcai.org/proceedings/2020/0048.pdf
Altruism in Coalition Formation Games,,,,https://www.ijcai.org/proceedings/2020/0049.pdf
A Multi-Objective Approach to Mitigate Negative Side Effects,,,,https://www.ijcai.org/proceedings/2020/0050.pdf
The Competitive Effects of Variance-based Pricing,,,,https://www.ijcai.org/proceedings/2020/0051.pdf
