title,keywords,group,link,pdf
Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics (Volume 1- Long Papers),,,https://aclanthology.org/P13-1000/,https://aclanthology.org/P13-1000.pdf
A Shift-Reduce Parsing Algorithm for Phrase-based String-to-Dependency Translation,,,https://aclanthology.org/P13-1001/,https://aclanthology.org/P13-1001.pdf
Integrating Translation Memory into Phrase-Based Machine Translation during Decoding,,,https://aclanthology.org/P13-1002/,https://aclanthology.org/P13-1002.pdf
Training Nondeficient Variants of IBM-3 and IBM-4 for Word Alignment,,,https://aclanthology.org/P13-1003/,https://aclanthology.org/P13-1003.pdf
Modelling Annotator Bias with Multi-task Gaussian Processes- An Application to Machine Translation Quality Estimation,,,https://aclanthology.org/P13-1004/,https://aclanthology.org/P13-1004.pdf
Smoothed marginal distribution constraints for language modeling,,,https://aclanthology.org/P13-1005/,https://aclanthology.org/P13-1005.pdf
Grounded Language Learning from Video Described with Sentences,,,https://aclanthology.org/P13-1006/,https://aclanthology.org/P13-1006.pdf
"Plurality, Negation, and Quantification-Towards Comprehensive Quantifier Scope Disambiguation",,,https://aclanthology.org/P13-1007/,https://aclanthology.org/P13-1007.pdf
Joint Event Extraction via Structured Prediction with Global Features,,,https://aclanthology.org/P13-1008/,https://aclanthology.org/P13-1008.pdf
Language-Independent Discriminative Parsing of Temporal Expressions,,,https://aclanthology.org/P13-1009/,https://aclanthology.org/P13-1009.pdf
Graph-based Local Coherence Modeling,,,https://aclanthology.org/P13-1010/,https://aclanthology.org/P13-1010.pdf
Recognizing Rare Social Phenomena in Conversation- Empowerment Detection in Support Group Chatrooms,,,https://aclanthology.org/P13-1011/,https://aclanthology.org/P13-1011.pdf
Decentralized Entity-Level Modeling for Coreference Resolution,,,https://aclanthology.org/P13-1012/,https://aclanthology.org/P13-1012.pdf
Chinese Parsing Exploiting Characters,,,https://aclanthology.org/P13-1013/,https://aclanthology.org/P13-1013.pdf
A Transition-Based Dependency Parser Using a Dynamic Parsing Strategy,,,https://aclanthology.org/P13-1014/,https://aclanthology.org/P13-1014.pdf
General binarization for parsing and translation,,,https://aclanthology.org/P13-1015/,https://aclanthology.org/P13-1015.pdf
Distortion Model Considering Rich Context for Statistical Machine Translation,,,https://aclanthology.org/P13-1016/,https://aclanthology.org/P13-1016.pdf
Word Alignment Modeling with Context Dependent Deep Neural Network,,,https://aclanthology.org/P13-1017/,https://aclanthology.org/P13-1017.pdf
Microblogs as Parallel Corpora,,,https://aclanthology.org/P13-1018/,https://aclanthology.org/P13-1018.pdf
Improved Bayesian Logistic Supervised Topic Models with Data Augmentation,,,https://aclanthology.org/P13-1019/,https://aclanthology.org/P13-1019.pdf
Fast and Robust Compressive Summarization with Dual Decomposition and Multi-Task Learning,,,https://aclanthology.org/P13-1020/,https://aclanthology.org/P13-1020.pdf
Unsupervised Transcription of Historical Documents,,,https://aclanthology.org/P13-1021/,https://aclanthology.org/P13-1021.pdf
Adapting Discriminative Reranking to Grounded Language Learning,,,https://aclanthology.org/P13-1022/,https://aclanthology.org/P13-1022.pdf
Universal Conceptual Cognitive Annotation (UCCA),,,https://aclanthology.org/P13-1023/,https://aclanthology.org/P13-1023.pdf
Linking Tweets to News- A Framework to Enrich Short Text Data in Social Media,,,https://aclanthology.org/P13-1024/,https://aclanthology.org/P13-1024.pdf
A computational approach to politeness with application to social factors,,,https://aclanthology.org/P13-1025/,https://aclanthology.org/P13-1025.pdf
Modeling Thesis Clarity in Student Essays,,,https://aclanthology.org/P13-1026/,https://aclanthology.org/P13-1026.pdf
Translating Italian connectives into Italian Sign Language,,,https://aclanthology.org/P13-1027/,https://aclanthology.org/P13-1027.pdf
Stop-probability estimates computed on a large corpus improve Unsupervised Dependency Parsing,,,https://aclanthology.org/P13-1028/,https://aclanthology.org/P13-1028.pdf
Transfer Learning for Constituency-Based Grammars,,,https://aclanthology.org/P13-1029/,https://aclanthology.org/P13-1029.pdf
A Context Free TAG Variant,,,https://aclanthology.org/P13-1030/,https://aclanthology.org/P13-1030.pdf
Fast and Adaptive Online Training of Feature-Rich Translation Models,,,https://aclanthology.org/P13-1031/,https://aclanthology.org/P13-1031.pdf
Advancements in Reordering Models for Statistical Machine Translation,,,https://aclanthology.org/P13-1032/,https://aclanthology.org/P13-1032.pdf
A Markov Model of Machine Translation using Non-parametric Bayesian Inference,,,https://aclanthology.org/P13-1033/,https://aclanthology.org/P13-1033.pdf
Scaling Semi-supervised Naive Bayes with Feature Marginals,,,https://aclanthology.org/P13-1034/,https://aclanthology.org/P13-1034.pdf
Learning Latent Personas of Film Characters,,,https://aclanthology.org/P13-1035/,https://aclanthology.org/P13-1035.pdf
Scalable Decipherment for Machine Translation via Hash Sampling,,,https://aclanthology.org/P13-1036/,https://aclanthology.org/P13-1036.pdf
Automatic Interpretation of the English Possessive,,,https://aclanthology.org/P13-1037/,https://aclanthology.org/P13-1037.pdf
Is a 204 cm Man Tall or Small - Acquisition of Numerical Common Sense from the Web,,,https://aclanthology.org/P13-1038/,https://aclanthology.org/P13-1038.pdf
Probabilistic Domain Modelling With Contextualized Distributional Semantic Vectors,,,https://aclanthology.org/P13-1039/,https://aclanthology.org/P13-1039.pdf
Extracting bilingual terminologies from comparable corpora,,,https://aclanthology.org/P13-1040/,https://aclanthology.org/P13-1040.pdf
The Haves and the Have-Nots- Leveraging Unlabelled Corpora for Sentiment Analysis,,,https://aclanthology.org/P13-1041/,https://aclanthology.org/P13-1041.pdf
Large-scale Semantic Parsing via Schema Matching and Lexicon Extension,,,https://aclanthology.org/P13-1042/,https://aclanthology.org/P13-1042.pdf
Fast and Accurate Shift-Reduce Constituent Parsing,,,https://aclanthology.org/P13-1043/,https://aclanthology.org/P13-1043.pdf
Nonconvex Global Optimization for Latent-Variable Models,,,https://aclanthology.org/P13-1044/,https://aclanthology.org/P13-1044.pdf
Parsing with Compositional Vector Grammars,,,https://aclanthology.org/P13-1045/,https://aclanthology.org/P13-1045.pdf
Discriminative state tracking for spoken dialog systems,,,https://aclanthology.org/P13-1046/,https://aclanthology.org/P13-1046.pdf
Leveraging Synthetic Discourse Data via Multi-task Learning for Implicit Discourse Relation Recognition,,,https://aclanthology.org/P13-1047/,https://aclanthology.org/P13-1047.pdf
Combining Intra- and Multi-sentential Rhetorical Parsing for Document-level Discourse Analysis,,,https://aclanthology.org/P13-1048/,https://aclanthology.org/P13-1048.pdf
Improving pairwise coreference models through feature space hierarchy learning,,,https://aclanthology.org/P13-1049/,https://aclanthology.org/P13-1049.pdf
