title,keywords,group,link,pdf
Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1- Long Papers),,,https://aclanthology.org/P18-1000/,https://aclanthology.org/P18-1000.pdf
Probabilistic FastText for Multi-Sense Word Embeddings,,,https://aclanthology.org/P18-1001/,https://aclanthology.org/P18-1001.pdf
A La Carte Embedding- Cheap but Effective Induction of Semantic Feature Vectors,,,https://aclanthology.org/P18-1002/,https://aclanthology.org/P18-1002.pdf
Unsupervised Learning of Distributional Relation Vectors,,,https://aclanthology.org/P18-1003/,https://aclanthology.org/P18-1003.pdf
Explicit Retrofitting of Distributional Word Vectors,,,https://aclanthology.org/P18-1004/,https://aclanthology.org/P18-1004.pdf
Unsupervised Neural Machine Translation with Weight Sharing,,,https://aclanthology.org/P18-1005/,https://aclanthology.org/P18-1005.pdf
Triangular Architecture for Rare Language Translation,,,https://aclanthology.org/P18-1006/,https://aclanthology.org/P18-1006.pdf
Subword Regularization- Improving Neural Network Translation Models with Multiple Subword Candidates,,,https://aclanthology.org/P18-1007/,https://aclanthology.org/P18-1007.pdf
The Best of Both Worlds- Combining Recent Advances in Neural Machine Translation,,,https://aclanthology.org/P18-1008/,https://aclanthology.org/P18-1008.pdf
Ultra-Fine Entity Typing,,,https://aclanthology.org/P18-1009/,https://aclanthology.org/P18-1009.pdf
Hierarchical Losses and New Resources for Fine-grained Entity Typing and Linking,,,https://aclanthology.org/P18-1010/,https://aclanthology.org/P18-1010.pdf
Improving Knowledge Graph Embedding Using Simple Constraints,,,https://aclanthology.org/P18-1011/,https://aclanthology.org/P18-1011.pdf
Towards Understanding the Geometry of Knowledge Graph Embeddings,,,https://aclanthology.org/P18-1012/,https://aclanthology.org/P18-1012.pdf
A Unified Model for Extractive and Abstractive Summarization using Inconsistency Loss,,,https://aclanthology.org/P18-1013/,https://aclanthology.org/P18-1013.pdf
Extractive Summarization with SWAP-NET- Sentences and Words from Alternating Pointer Networks,,,https://aclanthology.org/P18-1014/,https://aclanthology.org/P18-1014.pdf
"Retrieve, Rerank and Rewrite- Soft Template Based Neural Summarization",,,https://aclanthology.org/P18-1015/,https://aclanthology.org/P18-1015.pdf
Simple and Effective Text Simplification Using Semantic and Neural Methods,,,https://aclanthology.org/P18-1016/,https://aclanthology.org/P18-1016.pdf
"Obtaining Reliable Human Ratings of Valence, Arousal, and Dominance for 20,000 English Words",,,https://aclanthology.org/P18-1017/,https://aclanthology.org/P18-1017.pdf
Comprehensive Supersense Disambiguation of English Prepositions and Possessives,,,https://aclanthology.org/P18-1018/,https://aclanthology.org/P18-1018.pdf
"A Corpus with Multi-Level Annotations of Patients, Interventions and Outcomes to Support Language Processing for Medical Literature",,,https://aclanthology.org/P18-1019/,https://aclanthology.org/P18-1019.pdf
Efficient Online Scalar Annotation with Bounded Support,,,https://aclanthology.org/P18-1020/,https://aclanthology.org/P18-1020.pdf
Neural Argument Generation Augmented with Externally Retrieved Evidence,,,https://aclanthology.org/P18-1021/,https://aclanthology.org/P18-1021.pdf
A Stylometric Inquiry into Hyperpartisan and Fake News,,,https://aclanthology.org/P18-1022/,https://aclanthology.org/P18-1022.pdf
Retrieval of the Best Counterargument without Prior Topic Knowledge,,,https://aclanthology.org/P18-1023/,https://aclanthology.org/P18-1023.pdf
LinkNBed- Multi-Graph Representation Learning with Entity Linkage,,,https://aclanthology.org/P18-1024/,https://aclanthology.org/P18-1024.pdf
Probabilistic Embedding of Knowledge Graphs with Box Lattice Measures,,,https://aclanthology.org/P18-1025/,https://aclanthology.org/P18-1025.pdf
Graph-to-Sequence Learning using Gated Graph Neural Networks,,,https://aclanthology.org/P18-1026/,https://aclanthology.org/P18-1026.pdf
"Sharp Nearby, Fuzzy Far Away- How Neural Language Models Use Context",,,https://aclanthology.org/P18-1027/,https://aclanthology.org/P18-1027.pdf
"Bridging CNNs, RNNs, and Weighted Finite-State Machines",,,https://aclanthology.org/P18-1028/,https://aclanthology.org/P18-1028.pdf
Zero-shot Learning of Classifiers from Natural Language Quantification,,,https://aclanthology.org/P18-1029/,https://aclanthology.org/P18-1029.pdf
Sentence-State LSTM for Text Representation,,,https://aclanthology.org/P18-1030/,https://aclanthology.org/P18-1030.pdf
Universal Language Model Fine-tuning for Text Classification,,,https://aclanthology.org/P18-1031/,https://aclanthology.org/P18-1031.pdf
Evaluating neural network explanation methods using hybrid documents and morphosyntactic agreement,,,https://aclanthology.org/P18-1032/,https://aclanthology.org/P18-1032.pdf
Improving Text-to-SQL Evaluation Methodology,,,https://aclanthology.org/P18-1033/,https://aclanthology.org/P18-1033.pdf
Semantic Parsing with Syntax- and Table-Aware SQL Generation,,,https://aclanthology.org/P18-1034/,https://aclanthology.org/P18-1034.pdf
Multitask Parsing Across Semantic Representations,,,https://aclanthology.org/P18-1035/,https://aclanthology.org/P18-1035.pdf
Character-Level Models versus Morphology in Semantic Role Labeling,,,https://aclanthology.org/P18-1036/,https://aclanthology.org/P18-1036.pdf
AMR Parsing as Graph Prediction with Latent Alignment,,,https://aclanthology.org/P18-1037/,https://aclanthology.org/P18-1037.pdf
Accurate SHRG-Based Semantic Parsing,,,https://aclanthology.org/P18-1038/,https://aclanthology.org/P18-1038.pdf
Using Intermediate Representations to Solve Math Word Problems,,,https://aclanthology.org/P18-1039/,https://aclanthology.org/P18-1039.pdf
Discourse Representation Structure Parsing,,,https://aclanthology.org/P18-1040/,https://aclanthology.org/P18-1040.pdf
Baseline Needs More Love- On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,,,https://aclanthology.org/P18-1041/,https://aclanthology.org/P18-1041.pdf
ParaNMT-50M- Pushing the Limits of Paraphrastic Sentence Embeddings with Millions of Machine Translations,,,https://aclanthology.org/P18-1042/,https://aclanthology.org/P18-1042.pdf
"Event2Mind- Commonsense Inference on Events, Intents, and Reactions",,,https://aclanthology.org/P18-1043/,https://aclanthology.org/P18-1043.pdf
Neural Adversarial Training for Semi-supervised Japanese Predicate-argument Structure Analysis,,,https://aclanthology.org/P18-1044/,https://aclanthology.org/P18-1044.pdf
Improving Event Coreference Resolution by Modeling Correlations between Event Coreference Chains and Document Topic Structures,,,https://aclanthology.org/P18-1045/,https://aclanthology.org/P18-1045.pdf
DSGAN- Generative Adversarial Training for Distant Supervision Relation Extraction,,,https://aclanthology.org/P18-1046/,https://aclanthology.org/P18-1046.pdf
Extracting Relational Facts by an End-to-End Neural Model with Copy Mechanism,,,https://aclanthology.org/P18-1047/,https://aclanthology.org/P18-1047.pdf
Self-regulation- Employing a Generative Adversarial Network to Improve Event Detection,,,https://aclanthology.org/P18-1048/,https://aclanthology.org/P18-1048.pdf
Context-Aware Neural Model for Temporal Information Extraction,,,https://aclanthology.org/P18-1049/,https://aclanthology.org/P18-1049.pdf
Temporal Event Knowledge Acquisition via Identifying Narratives,,,https://aclanthology.org/P18-1050/,https://aclanthology.org/P18-1050.pdf
Textual Deconvolution Saliency (TDS) - a deep tool box for linguistic analysis,,,https://aclanthology.org/P18-1051/,https://aclanthology.org/P18-1051.pdf
Coherence Modeling of Asynchronous Conversations- A Neural Entity Grid Approach,,,https://aclanthology.org/P18-1052/,https://aclanthology.org/P18-1052.pdf
Deep Reinforcement Learning for Chinese Zero Pronoun Resolution,,,https://aclanthology.org/P18-1053/,https://aclanthology.org/P18-1053.pdf
Entity-Centric Joint Modeling of Japanese Coreference Resolution and Predicate Argument Structure Analysis,,,https://aclanthology.org/P18-1054/,https://aclanthology.org/P18-1054.pdf
"Constraining MGbank- Agreement, L-Selection and Supertagging in Minimalist Grammars",,,https://aclanthology.org/P18-1055/,https://aclanthology.org/P18-1055.pdf
Not that much power- Linguistic alignment is influenced more by low-level linguistic features rather than social power,,,https://aclanthology.org/P18-1056/,https://aclanthology.org/P18-1056.pdf
"TutorialBank- A Manually-Collected Corpus for Prerequisite Chains, Survey Extraction and Resource Recommendation",,,https://aclanthology.org/P18-1057/,https://aclanthology.org/P18-1057.pdf
Give Me More Feedback- Annotating Argument Persuasiveness and Related Attributes in Student Essays,,,https://aclanthology.org/P18-1058/,https://aclanthology.org/P18-1058.pdf
Inherent Biases in Reference-based Evaluation for Grammatical Error Correction,,,https://aclanthology.org/P18-1059/,https://aclanthology.org/P18-1059.pdf
The price of debiasing automatic metrics in natural language evalaution,,,https://aclanthology.org/P18-1060/,https://aclanthology.org/P18-1060.pdf
Neural Document Summarization by Jointly Learning to Score and Select Sentences,,,https://aclanthology.org/P18-1061/,https://aclanthology.org/P18-1061.pdf
Unsupervised Abstractive Meeting Summarization with Multi-Sentence Compression and Budgeted Submodular Maximization,,,https://aclanthology.org/P18-1062/,https://aclanthology.org/P18-1062.pdf
Fast Abstractive Summarization with Reinforce-Selected Sentence Rewriting,,,https://aclanthology.org/P18-1063/,https://aclanthology.org/P18-1063.pdf
Soft Layer-Specific Multi-Task Summarization with Entailment and Question Generation,,,https://aclanthology.org/P18-1064/,https://aclanthology.org/P18-1064.pdf
Modeling and Prediction of Online Product Review Helpfulness- A Survey,,,https://aclanthology.org/P18-1065/,https://aclanthology.org/P18-1065.pdf
Mining Cross-Cultural Differences and Similarities in Social Media,,,https://aclanthology.org/P18-1066/,https://aclanthology.org/P18-1066.pdf
Classification of Moral Foundations in Microblog Political Discourse,,,https://aclanthology.org/P18-1067/,https://aclanthology.org/P18-1067.pdf
Coarse-to-Fine Decoding for Neural Semantic Parsing,,,https://aclanthology.org/P18-1068/,https://aclanthology.org/P18-1068.pdf
Confidence Modeling for Neural Semantic Parsing,,,https://aclanthology.org/P18-1069/,https://aclanthology.org/P18-1069.pdf
StructVAE- Tree-structured Latent Variable Models for Semi-supervised Semantic Parsing,,,https://aclanthology.org/P18-1070/,https://aclanthology.org/P18-1070.pdf
Sequence-to-Action- End-to-End Semantic Graph Generation for Semantic Parsing,,,https://aclanthology.org/P18-1071/,https://aclanthology.org/P18-1071.pdf
On the Limitations of Unsupervised Bilingual Dictionary Induction,,,https://aclanthology.org/P18-1072/,https://aclanthology.org/P18-1072.pdf
A robust self-learning method for fully unsupervised cross-lingual mappings of word embeddings,,,https://aclanthology.org/P18-1073/,https://aclanthology.org/P18-1073.pdf
A Multi-lingual Multi-task Architecture for Low-resource Sequence Labeling,,,https://aclanthology.org/P18-1074/,https://aclanthology.org/P18-1074.pdf
Two Methods for Domain Adaptation of Bilingual Tasks- Delightfully Simple and Broadly Applicable,,,https://aclanthology.org/P18-1075/,https://aclanthology.org/P18-1075.pdf
Knowledgeable Reader- Enhancing Cloze-Style Reading Comprehension with External Commonsense Knowledge,,,https://aclanthology.org/P18-1076/,https://aclanthology.org/P18-1076.pdf
Multi-Relational Question Answering from Narratives- Machine Reading and Reasoning in Simulated Worlds,,,https://aclanthology.org/P18-1077/,https://aclanthology.org/P18-1077.pdf
Simple and Effective Multi-Paragraph Reading Comprehension,,,https://aclanthology.org/P18-1078/,https://aclanthology.org/P18-1078.pdf
Semantically Equivalent Adversarial Rules for Debugging NLP models,,,https://aclanthology.org/P18-1079/,https://aclanthology.org/P18-1079.pdf
Style Transfer Through Back-Translation,,,https://aclanthology.org/P18-1080/,https://aclanthology.org/P18-1080.pdf
Generating Fine-Grained Open Vocabulary Entity Type Descriptions,,,https://aclanthology.org/P18-1081/,https://aclanthology.org/P18-1081.pdf
Hierarchical Neural Story Generation,,,https://aclanthology.org/P18-1082/,https://aclanthology.org/P18-1082.pdf
No Metrics Are Perfect- Adversarial Reward Learning for Visual Storytelling,,,https://aclanthology.org/P18-1083/,https://aclanthology.org/P18-1083.pdf
Bridging Languages through Images with Deep Partial Canonical Correlation Analysis,,,https://aclanthology.org/P18-1084/,https://aclanthology.org/P18-1084.pdf
Illustrative Language Understanding- Large-Scale Visual Grounding with Image Search,,,https://aclanthology.org/P18-1085/,https://aclanthology.org/P18-1085.pdf
What Action Causes This- Towards Naive Physical Action-Effect Prediction,,,https://aclanthology.org/P18-1086/,https://aclanthology.org/P18-1086.pdf
Transformation Networks for Target-Oriented Sentiment Classification,,,https://aclanthology.org/P18-1087/,https://aclanthology.org/P18-1087.pdf
Target-Sensitive Memory Networks for Aspect Sentiment Classification,,,https://aclanthology.org/P18-1088/,https://aclanthology.org/P18-1088.pdf
Identifying Transferable Information Across Domains for Cross-domain Sentiment Classification,,,https://aclanthology.org/P18-1089/,https://aclanthology.org/P18-1089.pdf
Unpaired Sentiment-to-Sentiment Translation- A Cycled Reinforcement Learning Approach,,,https://aclanthology.org/P18-1090/,https://aclanthology.org/P18-1090.pdf
Discourse Marker Augmented Network with Reinforcement Learning for Natural Language Inference,,,https://aclanthology.org/P18-1091/,https://aclanthology.org/P18-1091.pdf
Working Memory Networks- Augmenting Memory Networks with a Relational Reasoning Module,,,https://aclanthology.org/P18-1092/,https://aclanthology.org/P18-1092.pdf
Reasoning with Sarcasm by Reading In-Between,,,https://aclanthology.org/P18-1093/,https://aclanthology.org/P18-1093.pdf
Adversarial Contrastive Estimation,,,https://aclanthology.org/P18-1094/,https://aclanthology.org/P18-1094.pdf
Adaptive Scaling for Sparse Detection in Information Extraction,,,https://aclanthology.org/P18-1095/,https://aclanthology.org/P18-1095.pdf
Strong Baselines for Neural Semi-Supervised Learning under Domain Shift,,,https://aclanthology.org/P18-1096/,https://aclanthology.org/P18-1096.pdf
Fluency Boost Learning and Inference for Neural Grammatical Error Correction,,,https://aclanthology.org/P18-1097/,https://aclanthology.org/P18-1097.pdf
A Neural Architecture for Automated ICD Coding,,,https://aclanthology.org/P18-1098/,https://aclanthology.org/P18-1098.pdf
Domain Adaptation with Adversarial Training and Graph Embeddings,,,https://aclanthology.org/P18-1099/,https://aclanthology.org/P18-1099.pdf
TDNN- A Two-stage Deep Neural Network for Prompt-independent Automated Essay Scoring,,,https://aclanthology.org/P18-1100/,https://aclanthology.org/P18-1100.pdf
Unsupervised Discrete Sentence Representation Learning for Interpretable Neural Dialog Generation,,,https://aclanthology.org/P18-1101/,https://aclanthology.org/P18-1101.pdf
Learning to Control the Specificity in Neural Response Generation,,,https://aclanthology.org/P18-1102/,https://aclanthology.org/P18-1102.pdf
Multi-Turn Response Selection for Chatbots with Deep Attention Matching Network,,,https://aclanthology.org/P18-1103/,https://aclanthology.org/P18-1103.pdf
MojiTalk- Generating Emotional Responses at Scale,,,https://aclanthology.org/P18-1104/,https://aclanthology.org/P18-1104.pdf
Taylor’s law for Human Linguistic Sequences,,,https://aclanthology.org/P18-1105/,https://aclanthology.org/P18-1105.pdf
A Framework for Representing Language Acquisition in a Population Setting,,,https://aclanthology.org/P18-1106/,https://aclanthology.org/P18-1106.pdf
Prefix Lexicalization of Synchronous CFGs using Synchronous TAG,,,https://aclanthology.org/P18-1107/,https://aclanthology.org/P18-1107.pdf
Straight to the Tree- Constituency Parsing with Neural Syntactic Distance,,,https://aclanthology.org/P18-1108/,https://aclanthology.org/P18-1108.pdf
Gaussian Mixture Latent Vector Grammars,,,https://aclanthology.org/P18-1109/,https://aclanthology.org/P18-1109.pdf
Extending a Parser to Distant Domains Using a Few Dozen Partially Annotated Examples,,,https://aclanthology.org/P18-1110/,https://aclanthology.org/P18-1110.pdf
Paraphrase to Explicate- Revealing Implicit Noun-Compound Relations,,,https://aclanthology.org/P18-1111/,https://aclanthology.org/P18-1111.pdf
Searching for the X-Factor- Exploring Corpus Subjectivity for Word Embeddings,,,https://aclanthology.org/P18-1112/,https://aclanthology.org/P18-1112.pdf
Word Embedding and WordNet Based Metaphor Identification and Interpretation,,,https://aclanthology.org/P18-1113/,https://aclanthology.org/P18-1113.pdf
Incorporating Latent Meanings of Morphological Compositions to Enhance Word Embeddings,,,https://aclanthology.org/P18-1114/,https://aclanthology.org/P18-1114.pdf
A Stochastic Decoder for Neural Machine Translation,,,https://aclanthology.org/P18-1115/,https://aclanthology.org/P18-1115.pdf
Forest-Based Neural Machine Translation,,,https://aclanthology.org/P18-1116/,https://aclanthology.org/P18-1116.pdf
Context-Aware Neural Machine Translation Learns Anaphora Resolution,,,https://aclanthology.org/P18-1117/,https://aclanthology.org/P18-1117.pdf
Document Context Neural Machine Translation with Memory Networks,,,https://aclanthology.org/P18-1118/,https://aclanthology.org/P18-1118.pdf
Which Melbourne- Augmenting Geocoding with Maps,,,https://aclanthology.org/P18-1119/,https://aclanthology.org/P18-1119.pdf
Learning Prototypical Goal Activities for Locations,,,https://aclanthology.org/P18-1120/,https://aclanthology.org/P18-1120.pdf
Guess Me if You Can- Acronym Disambiguation for Enterprises,,,https://aclanthology.org/P18-1121/,https://aclanthology.org/P18-1121.pdf
A Multi-Axis Annotation Scheme for Event Temporal Relations,,,https://aclanthology.org/P18-1122/,https://aclanthology.org/P18-1122.pdf
Exemplar Encoder-Decoder for Neural Conversation Generation,,,https://aclanthology.org/P18-1123/,https://aclanthology.org/P18-1123.pdf
DialSQL- Dialogue Based Structured Query Generation,,,https://aclanthology.org/P18-1124/,https://aclanthology.org/P18-1124.pdf
Conversations Gone Awry- Detecting Early Signs of Conversational Failure,,,https://aclanthology.org/P18-1125/,https://aclanthology.org/P18-1125.pdf
Are BLEU and Meaning Representation in Opposition-,,,https://aclanthology.org/P18-1126/,https://aclanthology.org/P18-1126.pdf
Automatic Metric Validation for Grammatical Error Correction,,,https://aclanthology.org/P18-1127/,https://aclanthology.org/P18-1127.pdf
The Hitchhiker’s Guide to Testing Statistical Significance in Natural Language Processing,,,https://aclanthology.org/P18-1128/,https://aclanthology.org/P18-1128.pdf
Distilling Knowledge for Search-based Structured Prediction,,,https://aclanthology.org/P18-1129/,https://aclanthology.org/P18-1129.pdf
Stack-Pointer Networks for Dependency Parsing,,,https://aclanthology.org/P18-1130/,https://aclanthology.org/P18-1130.pdf
Twitter Universal Dependency Parsing for African-American and Mainstream American English,,,https://aclanthology.org/P18-1131/,https://aclanthology.org/P18-1131.pdf
"LSTMs Can Learn Syntax-Sensitive Dependencies Well, But Modeling Structure Makes Them Better",,,https://aclanthology.org/P18-1132/,https://aclanthology.org/P18-1132.pdf
Sequicity- Simplifying Task-oriented Dialogue Systems with Single Sequence-to-Sequence Architectures,,,https://aclanthology.org/P18-1133/,https://aclanthology.org/P18-1133.pdf
An End-to-end Approach for Handling Unknown Slot Values in Dialogue State Tracking,,,https://aclanthology.org/P18-1134/,https://aclanthology.org/P18-1134.pdf
Global-Locally Self-Attentive Encoder for Dialogue State Tracking,,,https://aclanthology.org/P18-1135/,https://aclanthology.org/P18-1135.pdf
Mem2Seq- Effectively Incorporating Knowledge Bases into End-to-End Task-Oriented Dialog Systems,,,https://aclanthology.org/P18-1136/,https://aclanthology.org/P18-1136.pdf
Tailored Sequence to Sequence Models to Different Conversation Scenarios,,,https://aclanthology.org/P18-1137/,https://aclanthology.org/P18-1137.pdf
Knowledge Diffusion for Neural Dialogue Generation,,,https://aclanthology.org/P18-1138/,https://aclanthology.org/P18-1138.pdf
