title,keywords,group,link,pdf
Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics (Volume 1- Long Papers),,,https://aclanthology.org/P12-1000/,https://aclanthology.org/P12-1000.pdf
Learning to Translate with Multiple Objectives,,,https://aclanthology.org/P12-1001/,https://aclanthology.org/P12-1001.pdf
Joint Feature Selection in Distributed Stochastic Learning for Large-Scale Discriminative Training in SMT,,,https://aclanthology.org/P12-1002/,https://aclanthology.org/P12-1002.pdf
Prediction of Learning Curves in Machine Translation,,,https://aclanthology.org/P12-1003/,https://aclanthology.org/P12-1003.pdf
Probabilistic Integration of Partial Lexical Information for Noise Robust Haptic Voice Recognition,,,https://aclanthology.org/P12-1004/,https://aclanthology.org/P12-1004.pdf
A Nonparametric Bayesian Approach to Acoustic Model Discovery,,,https://aclanthology.org/P12-1005/,https://aclanthology.org/P12-1005.pdf
Automated Essay Scoring Based on Finite State Transducer- towards ASR Transcription of Oral English Speech,,,https://aclanthology.org/P12-1006/,https://aclanthology.org/P12-1006.pdf
Text-level Discourse Parsing with Rich Linguistic Features,,,https://aclanthology.org/P12-1007/,https://aclanthology.org/P12-1007.pdf
PDTB-style Discourse Annotation of Chinese Text,,,https://aclanthology.org/P12-1008/,https://aclanthology.org/P12-1008.pdf
SITS- A Hierarchical Nonparametric Model using Speaker Identity for Topic Segmentation in Multiparty Conversations,,,https://aclanthology.org/P12-1009/,https://aclanthology.org/P12-1009.pdf
Extracting Narrative Timelines as Temporal Dependency Structures,,,https://aclanthology.org/P12-1010/,https://aclanthology.org/P12-1010.pdf
Labeling Documents with Timestamps- Learning from their Time Expressions,,,https://aclanthology.org/P12-1011/,https://aclanthology.org/P12-1011.pdf
Temporally Anchored Relation Extraction,,,https://aclanthology.org/P12-1012/,https://aclanthology.org/P12-1012.pdf
Efficient Tree-based Approximation for Entailment Graph Learning,,,https://aclanthology.org/P12-1013/,https://aclanthology.org/P12-1013.pdf
Learning High-Level Planning from Text,,,https://aclanthology.org/P12-1014/,https://aclanthology.org/P12-1014.pdf
Distributional Semantics in Technicolor,,,https://aclanthology.org/P12-1015/,https://aclanthology.org/P12-1015.pdf
A Class-Based Agreement Model for Generating Accurately Inflected Translations,,,https://aclanthology.org/P12-1016/,https://aclanthology.org/P12-1016.pdf
Deciphering Foreign Language by Combining Language Models and Context Vectors,,,https://aclanthology.org/P12-1017/,https://aclanthology.org/P12-1017.pdf
Machine Translation without Words through Substring Alignment,,,https://aclanthology.org/P12-1018/,https://aclanthology.org/P12-1018.pdf
Fast Syntactic Analysis for Statistical Language Modeling via Substructure Sharing and Uptraining,,,https://aclanthology.org/P12-1019/,https://aclanthology.org/P12-1019.pdf
Bootstrapping a Unified Model of Lexical and Phonetic Acquisition,,,https://aclanthology.org/P12-1020/,https://aclanthology.org/P12-1020.pdf
"Discriminative Pronunciation Modeling- A Large-Margin, Feature-Rich Approach",,,https://aclanthology.org/P12-1021/,https://aclanthology.org/P12-1021.pdf
