title,keywords,group,link,pdf
1. Stochastic Optimization with Importance Sampling for Regularized Loss Minimization,,,https://proceedings.mlr.press/v37/zhaoa15.html,
2. Approval Voting and Incentives in Crowdsourcing,,,https://proceedings.mlr.press/v37/shaha15.html,http://proceedings.mlr.press/v37/shaha15.pdf
3. A low variance consistent test of relative dependency,,,https://proceedings.mlr.press/v37/bounliphone15.html,
4. An Aligned Subtree Kernel for Weighted Graphs,,,https://proceedings.mlr.press/v37/bai15.html,http://proceedings.mlr.press/v37/bai15.pdf
5. Spectral Clustering via the Power Method - Provably,,,https://proceedings.mlr.press/v37/boutsidis15.html,
6. Information Geometry and Minimum Description Length Networks,,,https://proceedings.mlr.press/v37/suna15.html,http://proceedings.mlr.press/v37/suna15.pdf
7. Efficient Training of LDA on a GPU by Mean-for-Mode Estimation,,,https://proceedings.mlr.press/v37/tristan15.html,
8. Adaptive Stochastic Alternating Direction Method of Multipliers,,,https://proceedings.mlr.press/v37/zhaob15.html,
9. A Lower Bound for the Optimization of Finite Sums,,,https://proceedings.mlr.press/v37/agarwal15.html,http://proceedings.mlr.press/v37/agarwal15.pdf
10. Learning Word Representations with Hierarchical Sparse Coding,,,https://proceedings.mlr.press/v37/yogatama15.html,http://proceedings.mlr.press/v37/yogatama15.pdf
11. Learning Transferable Features with Deep Adaptation Networks,,,https://proceedings.mlr.press/v37/long15.html,
12. Robust partially observable Markov decision process,,,https://proceedings.mlr.press/v37/osogami15.html,http://proceedings.mlr.press/v37/osogami15.pdf
13. On the Relationship between Sum-Product Networks and Bayesian Networks,,,https://proceedings.mlr.press/v37/zhaoc15.html,http://proceedings.mlr.press/v37/zhaoc15.pdf
14. Learning from Corrupted Binary Labels via Class-Probability Estimation,,,https://proceedings.mlr.press/v37/menon15.html,http://proceedings.mlr.press/v37/menon15.pdf
15. An Explicit Sampling Dependent Spectral Error Bound for Column Subset Selection,,,https://proceedings.mlr.press/v37/yanga15.html,
16. A Stochastic PCA and SVD Algorithm with an Exponential Convergence Rate,,,https://proceedings.mlr.press/v37/shamir15.html,http://proceedings.mlr.press/v37/shamir15.pdf
17. Attribute Efficient Linear Regression with Distribution-Dependent Sampling,,,https://proceedings.mlr.press/v37/kukliansky15.html,http://proceedings.mlr.press/v37/kukliansky15.pdf
18. Learning Local Invariant Mahalanobis Distances,,,https://proceedings.mlr.press/v37/fetaya15.html,
19. Finding Linear Structure in Large Datasets with Scalable Canonical Correlation Analysis,,,https://proceedings.mlr.press/v37/maa15.html,http://proceedings.mlr.press/v37/maa15.pdf
20. Abstraction Selection in Model-based Reinforcement Learning,,,https://proceedings.mlr.press/v37/jiang15.html,http://proceedings.mlr.press/v37/jiang15.pdf
21. Surrogate Functions for Maximizing Precision at the Top,,,https://proceedings.mlr.press/v37/kar15.html,http://proceedings.mlr.press/v37/kar15.pdf
22. Optimizing Non-decomposable Performance Measures- A Tale of Two Classes,,,https://proceedings.mlr.press/v37/narasimhana15.html,http://proceedings.mlr.press/v37/narasimhana15.pdf
23. Coresets for Nonparametric Estimation - the Case of DP-Means,,,https://proceedings.mlr.press/v37/bachem15.html,http://proceedings.mlr.press/v37/bachem15.pdf
24. A Relative Exponential Weighing Algorithm for Adversarial Utility-based Dueling Bandits,,,https://proceedings.mlr.press/v37/gajane15.html,http://proceedings.mlr.press/v37/gajane15.pdf
25. Functional Subspace Clustering with Application to Time Series,,,https://proceedings.mlr.press/v37/bahadori15.html,http://proceedings.mlr.press/v37/bahadori15.pdf
26. Accelerated Online Low Rank Tensor Learning for Multivariate Spatiotemporal Streams,,,https://proceedings.mlr.press/v37/yua15.html,http://proceedings.mlr.press/v37/yua15.pdf
27. Atomic Spatial Processes,,,https://proceedings.mlr.press/v37/jewell15.html,http://proceedings.mlr.press/v37/jewell15.pdf
28. Classification with Low Rank and Missing Data,,,https://proceedings.mlr.press/v37/hazan15.html,http://proceedings.mlr.press/v37/hazan15.pdf
29. Dynamic Sensing- Better Classification under Acquisition Constraints,,,https://proceedings.mlr.press/v37/richman15.html,
30. A Modified Orthant-Wise Limited Memory Quasi-Newton Method with Convergence Analysis,,,https://proceedings.mlr.press/v37/gonga15.html,http://proceedings.mlr.press/v37/gonga15.pdf
31. Telling cause from effect in deterministic linear dynamical systems,,,https://proceedings.mlr.press/v37/shajarisales15.html,http://proceedings.mlr.press/v37/shajarisales15.pdf
32. High Dimensional Bayesian Optimisation and Bandits via Additive Models,,,https://proceedings.mlr.press/v37/kandasamy15.html,http://proceedings.mlr.press/v37/kandasamy15.pdf
33. Theory of Dual-sparse Regularized Randomized Reduction,,,https://proceedings.mlr.press/v37/yangb15.html,
34. Generalization error bounds for learning to rank- Does the length of document lists matter-,,,https://proceedings.mlr.press/v37/tewari15.html,http://proceedings.mlr.press/v37/tewari15.pdf
35. PeakSeg- constrained optimal segmentation and supervised penalty learning for peak detection in count data,,,https://proceedings.mlr.press/v37/hocking15.html,
36. Mind the duality gap- safer rules for the Lasso,,,https://proceedings.mlr.press/v37/fercoq15.html,http://proceedings.mlr.press/v37/fercoq15.pdf
37. A General Analysis of the Convergence of ADMM,,,https://proceedings.mlr.press/v37/nishihara15.html,
38. Stochastic Primal-Dual Coordinate Method for Regularized Empirical Risk Minimization,,,https://proceedings.mlr.press/v37/zhanga15.html,
39. DiSCO- Distributed Optimization for Self-Concordant Empirical Loss,,,https://proceedings.mlr.press/v37/zhangb15.html,
40. Spectral MLE- Top-K Rank Aggregation from Pairwise Comparisons,,,https://proceedings.mlr.press/v37/chena15.html,http://proceedings.mlr.press/v37/chena15.pdf
41. Paired-Dual Learning for Fast Training of Latent Variable Hinge-Loss MRFs,,,https://proceedings.mlr.press/v37/bach15.html,http://proceedings.mlr.press/v37/bach15.pdf
42. Structural Maxent Models,,,https://proceedings.mlr.press/v37/cortes15.html,http://proceedings.mlr.press/v37/cortes15.pdf
43. A Provable Generalized Tensor Spectral Method for Uniform Hypergraph Partitioning,,,https://proceedings.mlr.press/v37/ghoshdastidar15.html,http://proceedings.mlr.press/v37/ghoshdastidar15.pdf
44. The Benefits of Learning with Strongly Convex Approximate Inference,,,https://proceedings.mlr.press/v37/london15.html,http://proceedings.mlr.press/v37/london15.pdf
