title,keywords,group,link,pdf
1. An Optimal Policy for Target Localization with Application to Electron Microscopy,,,https://proceedings.mlr.press/v28/sznitman13.html,
2. Domain Generalization via Invariant Feature Representation,,,https://proceedings.mlr.press/v28/muandet13.html,http://proceedings.mlr.press/v28/muandet13.pdf
3. A Spectral Learning Approach to Range-Only SLAM,,,https://proceedings.mlr.press/v28/boots13.html,http://proceedings.mlr.press/v28/boots13.pdf
4. Near-Optimal Bounds for Cross-Validation via Loss Stability,,,https://proceedings.mlr.press/v28/kumar13a.html,
5. Sparsity-Based Generalization Bounds for Predictive Sparse Coding,,,https://proceedings.mlr.press/v28/mehta13.html,http://proceedings.mlr.press/v28/mehta13.pdf
6. Sparse Uncorrelated Linear Discriminant Analysis,,,https://proceedings.mlr.press/v28/zhang13.html,
7. Block-Coordinate Frank-Wolfe Optimization for Structural SVMs,,,https://proceedings.mlr.press/v28/lacoste-julien13.html,http://proceedings.mlr.press/v28/lacoste-julien13.pdf
8. Fast Probabilistic Optimization from Noisy Gradients,,,https://proceedings.mlr.press/v28/hennig13.html,
9. Stochastic Gradient Descent for Non-smooth Optimization- Convergence Results and Optimal Averaging Schemes,,,https://proceedings.mlr.press/v28/shamir13.html,
10. Stochastic Alternating Direction Method of Multipliers,,,https://proceedings.mlr.press/v28/ouyang13.html,http://proceedings.mlr.press/v28/ouyang13.pdf
11. Noisy Sparse Subspace Clustering,,,https://proceedings.mlr.press/v28/wang13.html,http://proceedings.mlr.press/v28/wang13.pdf
12. Parallel Markov Chain Monte Carlo for Nonparametric Mixture Models,,,https://proceedings.mlr.press/v28/williamson13.html,http://proceedings.mlr.press/v28/williamson13.pdf
13. Risk Bounds and Learning Algorithms for the Regression Approach to Structured Output Prediction,,,https://proceedings.mlr.press/v28/giguere13.html,http://proceedings.mlr.press/v28/giguere13.pdf
14. Making a Science of Model Search- Hyperparameter Optimization in Hundreds of Dimensions for Vision Architectures,,,https://proceedings.mlr.press/v28/bergstra13.html,
15. Gibbs Max-Margin Topic Models with Fast Sampling Algorithms,,,https://proceedings.mlr.press/v28/zhu13.html,
16. Cost-Sensitive Tree of Classifiers,,,https://proceedings.mlr.press/v28/xu13.html,
17. Learning Hash Functions Using Column Generation,,,https://proceedings.mlr.press/v28/li13a.html,
18. Combinatorial Multi-Armed Bandit- General Framework and Applications,,,https://proceedings.mlr.press/v28/chen13a.html,http://proceedings.mlr.press/v28/chen13a.pdf
19. Near-optimal Batch Mode Active Learning and Adaptive Submodular Optimization,,,https://proceedings.mlr.press/v28/chen13b.html,http://proceedings.mlr.press/v28/chen13b.pdf
20. Convex formulations of radius-margin based Support Vector Machines,,,https://proceedings.mlr.press/v28/do13.html,
21. Modelling Sparse Dynamical Systems with Compressed Predictive State Representations,,,https://proceedings.mlr.press/v28/hamilton13.html,
22. A Machine Learning Framework for Programming by Example,,,https://proceedings.mlr.press/v28/menon13.html,
23. Discriminatively Activated Sparselets,,,https://proceedings.mlr.press/v28/girshick13.html,http://proceedings.mlr.press/v28/girshick13.pdf
24. The Pairwise Piecewise-Linear Embedding for Efficient Non-Linear Classification,,,https://proceedings.mlr.press/v28/pele13.html,
25. Fixed-Point Model For Structured Labeling,,,https://proceedings.mlr.press/v28/li13b.html,
26. Connecting the Dots with Landmarks-  Discriminatively Learning Domain-Invariant Features for Unsupervised Domain Adaptation,,,https://proceedings.mlr.press/v28/gong13.html,http://proceedings.mlr.press/v28/gong13.pdf
27. Fast Conical Hull Algorithms for Near-separable Non-negative Matrix Factorization,,,https://proceedings.mlr.press/v28/kumar13b.html,
28. Principal Component Analysis on non-Gaussian Dependent Data,,,https://proceedings.mlr.press/v28/han13.html,
29. Learning Linear Bayesian Networks with Latent Variables,,,https://proceedings.mlr.press/v28/anandkumar13.html,
30. Multiple Identifications in Multi-Armed Bandits,,,https://proceedings.mlr.press/v28/bubeck13.html,
31. Learning Optimally Sparse Support Vector Machines,,,https://proceedings.mlr.press/v28/cotter13.html,http://proceedings.mlr.press/v28/cotter13.pdf
32. Dynamic Probabilistic Models for Latent Feature Propagation in Social Networks,,,https://proceedings.mlr.press/v28/heaukulani13.html,
33. Efficient Sparse Group Feature Selection via Nonconvex Optimization,,,https://proceedings.mlr.press/v28/xiang13.html,http://proceedings.mlr.press/v28/xiang13.pdf
34. Domain Adaptation for Sequence Labeling Tasks with a Probabilistic Language Adaptation Model,,,https://proceedings.mlr.press/v28/xiao13.html,
35. Maximum Variance Correction with Application to A- Search,,,https://proceedings.mlr.press/v28/chen13c.html,
36. Adaptive Sparsity in Gaussian Graphical Models,,,https://proceedings.mlr.press/v28/wong13.html,
37. Average Reward Optimization Objective In Partially Observable Domains,,,https://proceedings.mlr.press/v28/grinberg13.html,http://proceedings.mlr.press/v28/grinberg13.pdf
38. Feature Selection in High-Dimensional Classification,,,https://proceedings.mlr.press/v28/kolar13.html,
39. Human Boosting,,,https://proceedings.mlr.press/v28/pareek13.html,http://proceedings.mlr.press/v28/pareek13.pdf
40. Efficient Dimensionality Reduction for  Canonical Correlation Analysis,,,https://proceedings.mlr.press/v28/avron13.html,
41. Parsing epileptic events using a Markov switching process model for correlated time series,,,https://proceedings.mlr.press/v28/wulsin13.html,http://proceedings.mlr.press/v28/wulsin13.pdf
42. Optimal rates for stochastic convex optimization under Tsybakov noise condition,,,https://proceedings.mlr.press/v28/ramdas13.html,http://proceedings.mlr.press/v28/ramdas13.pdf
