title,keywords,group,link,pdf
1. A Discriminative Latent Variable Model for Online Clustering,,,https://proceedings.mlr.press/v32/samdani14.html,http://proceedings.mlr.press/v32/samdani14.pdf
2. Kernel Mean Estimation and Stein Effect,,,https://proceedings.mlr.press/v32/muandet14.html,http://proceedings.mlr.press/v32/muandet14.pdf
3. Demystifying Information-Theoretic Clustering,,,https://proceedings.mlr.press/v32/steeg14.html,http://proceedings.mlr.press/v32/steeg14.pdf
4. Covering Number for Efficient Heuristic-based POMDP Planning,,,https://proceedings.mlr.press/v32/zhanga14.html,http://proceedings.mlr.press/v32/zhanga14.pdf
5. The Coherent Loss Function for Classification,,,https://proceedings.mlr.press/v32/yanga14.html,http://proceedings.mlr.press/v32/yanga14.pdf
6. Fast Stochastic Alternating Direction Method of Multipliers,,,https://proceedings.mlr.press/v32/zhong14.html,
7. Active Detection via Adaptive Submodularity,,,https://proceedings.mlr.press/v32/chena14.html,http://proceedings.mlr.press/v32/chena14.pdf
8. Accelerated Proximal Stochastic Dual Coordinate Ascent for Regularized Loss Minimization,,,https://proceedings.mlr.press/v32/shalev-shwartz14.html,
9. An Adaptive Accelerated Proximal Gradient Method and its Homotopy Continuation for Sparse Optimization,,,https://proceedings.mlr.press/v32/lin14.html,http://proceedings.mlr.press/v32/lin14.pdf
10. Recurrent Convolutional Neural Networks for Scene Labeling,,,https://proceedings.mlr.press/v32/pinheiro14.html,
11. A Statistical Perspective on Algorithmic Leveraging,,,https://proceedings.mlr.press/v32/ma14.html,
12. Thompson Sampling for Complex Online Problems,,,https://proceedings.mlr.press/v32/gopalan14.html,http://proceedings.mlr.press/v32/gopalan14.pdf
13. Boosting multi-step autoregressive forecasts,,,https://proceedings.mlr.press/v32/taieb14.html,http://proceedings.mlr.press/v32/taieb14.pdf
14. A Statistical Convergence Perspective of Algorithms for Rank Aggregation from Pairwise Data,,,https://proceedings.mlr.press/v32/rajkumar14.html,http://proceedings.mlr.press/v32/rajkumar14.pdf
15. Scaling Up Approximate Value Iteration with Options- Better Policies with Fewer Iterations,,,https://proceedings.mlr.press/v32/mann14.html,http://proceedings.mlr.press/v32/mann14.pdf
16. Latent Bandits.,,,https://proceedings.mlr.press/v32/maillard14.html,
17. Fast Allocation of Gaussian Process Experts,,,https://proceedings.mlr.press/v32/nguyena14.html,
18. Von Mises-Fisher Clustering Models,,,https://proceedings.mlr.press/v32/gopal14.html,http://proceedings.mlr.press/v32/gopal14.pdf
